2021-12-02 13:49:44.306  INFO Musso --- [           main] .b.t.a.w.s.WebMvcTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests], using SpringBootContextLoader
2021-12-02 13:49:44.331  INFO Musso --- [           main] o.s.t.c.s.AbstractContextLoader          : Could not detect default resource locations for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-02 13:49:44.333  INFO Musso --- [           main] t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests]: OwnerControllerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-12-02 13:49:44.655  INFO Musso --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration org.springframework.samples.petclinic.PetClinicApplication for test class org.springframework.samples.petclinic.owner.OwnerControllerTests
2021-12-02 13:49:44.659  INFO Musso --- [           main] .b.t.a.w.s.WebMvcTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-02 13:49:44.685  INFO Musso --- [           main] .b.t.a.w.s.WebMvcTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@476aac9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cea706c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3bd7f8dc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2f2bf0e2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1eba372c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@21ec5d87, org.springframework.test.context.transaction.TransactionalTestExecutionListener@25f9407e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@552518c3, org.springframework.test.context.event.EventPublishingTestExecutionListener@1a69561c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@59aa20b3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@363f6148, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4b21844c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b28f282, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@138fe6ec, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5e77f0f4]
2021-12-02 13:49:46.326  INFO Musso --- [kground-preinit] o.h.v.i.u.Version                        : HV000001: Hibernate Validator 6.2.0.Final
2021-12-02 13:49:46.400  INFO Musso --- [           main] o.s.s.p.o.OwnerControllerTests           : Starting OwnerControllerTests using Java 17 on Musso with PID 15240 (started by ineke in C:\Users\ineke\IdeaProjects\SOEN345Project)
2021-12-02 13:49:46.418  INFO Musso --- [           main] o.s.s.p.o.OwnerControllerTests           : No active profile set, falling back to default profiles: default
2021-12-02 13:49:51.141  INFO Musso --- [           main] o.s.b.t.m.w.SpringBootMockServletContext : Initializing Spring TestDispatcherServlet ''
2021-12-02 13:49:51.142  INFO Musso --- [           main] o.s.t.w.s.TestDispatcherServlet          : Initializing Servlet ''
2021-12-02 13:49:51.146  INFO Musso --- [           main] o.s.t.w.s.TestDispatcherServlet          : Completed initialization in 3 ms
2021-12-02 13:49:51.218  INFO Musso --- [           main] o.s.s.p.o.OwnerControllerTests           : Started OwnerControllerTests in 5.401 seconds (JVM running for 9.794)
2021-12-02 13:49:51.446  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.014  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.020  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 2
2021-12-02 13:49:52.022  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.048  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:52.050  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 2
2021-12-02 13:49:52.053  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.083  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.109  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.113  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:52.115  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.141  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.159  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:52.162  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 3
2021-12-02 13:49:52.165  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.183  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.203  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.206  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:52.208  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.227  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.261  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.286  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.301  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.305  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 5
2021-12-02 13:49:52.307  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.332  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.348  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.350  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:52.351  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.370  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.386  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:52.388  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 3
2021-12-02 13:49:52.390  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.401  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.416  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:52.418  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 3
2021-12-02 13:49:52.420  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.433  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.445  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.459  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.461  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:52.463  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.475  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.477  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 2
2021-12-02 13:49:52.479  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.490  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.506  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.508  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:52.510  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.522  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.540  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.557  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.559  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:52.562  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.578  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.595  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.620  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.622  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:52.624  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.641  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:52.642  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 2
2021-12-02 13:49:52.644  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.673  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.697  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.699  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 3
2021-12-02 13:49:52.701  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.720  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.741  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.763  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.765  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:52.767  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.787  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.803  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.819  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.821  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:52.822  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.838  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.854  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.866  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:52.867  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 4
2021-12-02 13:49:52.868  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:52.888  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:52.890  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 2
2021-12-02 13:49:52.893  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:52.912  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
